species
Brent Goose
Red-breasted Goose
Canada Goose
Barnacle Goose
Cackling Goose
Snow Goose
Greylag Goose
Taiga Bean Goose
Pink-footed Goose
Tundra Bean Goose
White-fronted Goose
Lesser White-fronted Goose
Mute Swan
Bewick's Swan
Whooper Swan
Egyptian Goose
Shelduck
Ruddy Shelduck
Mandarin Duck
Baikal Teal
Garganey
Blue-winged Teal
Shoveler
Gadwall
Falcated Duck
Wigeon
American Wigeon
Mallard
Black Duck
Pintail
Teal
Green-winged Teal
Red-crested Pochard
Canvasback
Redhead
Pochard
Ferruginous Duck
Ring-necked Duck
Tufted Duck
Scaup
Lesser Scaup
Steller's Eider
King Eider
Eider
Harlequin Duck
Surf Scoter
Velvet Scoter
White-winged Scoter
Common Scoter
Black Scoter
Long-tailed Duck
Bufflehead
Goldeneye
Barrow's Goldeneye
Smew
Hooded Merganser
Goosander
Red-breasted Merganser
Ruddy Duck
Red Grouse
Ptarmigan
Capercaillie
Black Grouse
Grey Partridge
Golden Pheasant
Lady Amherst's Pheasant
Pheasant
Quail
Red-legged Partridge
Common Nighthawk
Red-necked Nightjar
Nightjar
Egyptian Nightjar
White-throated Needletail
Chimney Swift
Alpine Swift
Swift
Pallid Swift
Pacific Swift
Little Swift
White-rumped Swift
Great Bustard
Macqueen's Bustard
Little Bustard
Great Spotted Cuckoo
Yellow-billed Cuckoo
Black-billed Cuckoo
Cuckoo
Pallas's Sandgrouse
Rock Dove
Stock Dove
Woodpigeon
Turtle Dove
Oriental Turtle Dove
Collared Dove
Mourning Dove
Water Rail
Corncrake
Sora Rail
Spotted Crake
Moorhen
Coot
American Coot
Allen's Gallinule
American Purple Gallinule
Western Swamphen
Baillon's Crake
Little Crake
Sandhill Crane
Crane
Little Grebe
Pied-billed Grebe
Red-necked Grebe
Great Crested Grebe
Slavonian Grebe
Black-necked Grebe
Stone-curlew
Oystercatcher
Black-winged Stilt
Avocet
Lapwing
Sociable Plover
White-tailed Plover
Golden Plover
Pacific Golden Plover
American Golden Plover
Grey Plover
Ringed Plover
Semipalmated Plover
Little Ringed Plover
Killdeer
Kentish Plover
Lesser Sand Plover
Greater Sand Plover
Caspian Plover
Dotterel
Upland Sandpiper
Whimbrel
Hudsonian Whimbrel
Little Whimbrel
Eskimo Curlew
Curlew
Bar-tailed Godwit
Black-tailed Godwit
Hudsonian Godwit
Turnstone
Great Knot
Knot
Ruff
Broad-billed Sandpiper
Sharp-tailed Sandpiper
Stilt Sandpiper
Curlew Sandpiper
Temminck's Stint
Long-toed Stint
Red-necked Stint
Sanderling
Dunlin
Purple Sandpiper
Baird's Sandpiper
Little Stint
Least Sandpiper
White-rumped Sandpiper
Buff-breasted Sandpiper
Pectoral Sandpiper
Semipalmated Sandpiper
Western Sandpiper
Long-billed Dowitcher
Short-billed Dowitcher
Woodcock
Jack Snipe
Great Snipe
Snipe
Wilson's Snipe
Terek Sandpiper
Wilson's Phalarope
Red-necked Phalarope
Grey Phalarope
Common Sandpiper
Spotted Sandpiper
Green Sandpiper
Solitary Sandpiper
Grey-tailed Tattler
Lesser Yellowlegs
Redshank
Marsh Sandpiper
Wood Sandpiper
Spotted Redshank
Greenshank
Greater Yellowlegs
Cream-coloured Courser
Collared Pratincole
Oriental Pratincole
Black-winged Pratincole
Kittiwake
Ivory Gull
Sabine's Gull
Slender-billed Gull
Bonaparte's Gull
Black-headed Gull
Little Gull
Ross's Gull
Laughing Gull
Franklin's Gull
Audouin's Gull
Mediterranean Gull
Great Black-headed Gull
Common Gull
Ring-billed Gull
Great Black-backed Gull
Glaucous-winged Gull
Glaucous Gull
Iceland Gull
Herring Gull
American Herring Gull
Caspian Gull
Yellow-legged Gull
Slaty-backed Gull
Lesser Black-backed Gull
Gull-billed Tern
Caspian Tern
Royal Tern
Lesser Crested Tern
Sandwich Tern
Cabot's Tern
Elegant Tern
Little Tern
Least Tern
Aleutian Tern
Bridled Tern
Sooty Tern
Roseate Tern
Common Tern
Arctic Tern
Forster's Tern
Whiskered Tern
White-winged Black Tern
Black Tern
South Polar Skua
Great Skua
Pomarine Skua
Arctic Skua
Long-tailed Skua
Little Auk
Brünnich's Guillemot
Common Guillemot
Razorbill
Great Auk
Black Guillemot
Long-billed Murrelet
Ancient Murrelet
Puffin
Tufted Puffin
Red-billed Tropicbird
Red-throated Diver
Black-throated Diver
Pacific Diver
Great Northern Diver
White-billed Diver
Wilson's Petrel
White-faced Storm Petrel
Black-browed Albatross
Atlantic Yellow-nosed Albatross
Storm Petrel
Swinhoe's Petrel
Leach's Petrel
Fulmar
Black-capped Petrel
White-chinned Petrel
Scopoli's Shearwater
Cory's Shearwater
Sooty Shearwater
Great Shearwater
Manx Shearwater
Yelkouan Shearwater
Balearic Shearwater
Barolo Shearwater
Black Stork
White Stork
Ascension Frigatebird
Magnificent Frigatebird
Gannet
Red-footed Booby
Brown Booby
Cormorant
Shag
Double-crested Cormorant
Glossy Ibis
Spoonbill
Bittern
American Bittern
Little Bittern
Night-heron
Green Heron
Squacco Heron
Chinese Pond Heron
Cattle Egret
Grey Heron
Great Blue Heron
Purple Heron
Great White Egret
Snowy Egret
Little Egret
Dalmatian Pelican
Osprey
Egyptian Vulture
Honey-buzzard
Short-toed Eagle
Spotted Eagle
Golden Eagle
Sparrowhawk
Goshawk
Marsh Harrier
Hen Harrier
Northern Harrier
Pallid Harrier
Montagu's Harrier
Red Kite
Black Kite
White-tailed Eagle
Rough-legged Buzzard
Buzzard
Barn Owl
Tengmalm's Owl
Little Owl
Hawk Owl
Scops Owl
Long-eared Owl
Short-eared Owl
Snowy Owl
Tawny Owl
Hoopoe
Roller
Kingfisher
Belted Kingfisher
Blue-cheeked Bee-eater
Bee-eater
Wryneck
Yellow-bellied Sapsucker
Lesser Spotted Woodpecker
Great Spotted Woodpecker
Green Woodpecker
Lesser Kestrel
Kestrel
American Kestrel
Red-footed Falcon
Amur Falcon
Eleonora's Falcon
Merlin
Hobby
Gyr Falcon
Peregrine
Ring-necked Parakeet
Eastern Phoebe
Yellow-bellied Flycatcher
Acadian Flycatcher
Alder Flycatcher
Eastern Kingbird
Brown Shrike
Red-backed Shrike
Daurian Shrike
Turkestan Shrike
Long-tailed Shrike
Lesser Grey Shrike
Great Grey Shrike
Woodchat Shrike
Masked Shrike
Red-eyed Vireo
Philadelphia Vireo
Yellow-throated Vireo
Golden Oriole
Jay
Magpie
Nutcracker
Chough
Jackdaw
Rook
Carrion Crow
Hooded Crow
Raven
Waxwing
Cedar Waxwing
Coal Tit
Crested Tit
Marsh Tit
Willow Tit
Blue Tit
Great Tit
